7145,2265,2,267,6
7576,2287,12,182,0
7196,2323,23,237,0
10464,2541,26,211,25
8226,2412,13,258,2
12770,1783,251,23,36
2971,1002,107,0,0
9167,2799,155,19,12
9117,1853,236,16,16
8891,1364,343,0,0
2661,1125,128,0,0
5439,1854,229,0,0
7566,1431,268,0,0
3077,1237,172,0,0
13072,1630,196,115,1
3689,2645,134,8,2
3984,1527,88,6,3
9129,2232,311,18,3
10201,2954,256,18,8
10613,3172,262,37,1
11611,2272,251,22,59
8869,3841,194,37,104
7328,2250,318,0,0
7706,2712,251,0,0
1967,1032,49,5,2
12342,2105,231,21,43
11459,2553,247,13,44
9572,2735,128,40,57
7174,2896,301,20,10
8064,1849,137,1,23